PID,lon,lat,FuelClass,class_id,split,block_id
57,172.625341,-43.610954,gorse_broom,2,valid,500007
58,172.613255,-43.621351,gorse_broom,2,train,200003
59,172.619562,-43.603746,gorse_broom,2,train,300010
60,172.608809,-43.619426,gorse_broom,2,train,4
61,172.606182,-43.615794,gorse_broom,2,valid,5
62,172.619297,-43.614653,gorse_broom,2,train,300006
63,172.616214,-43.611981,gorse_broom,2,train,200007
64,172.608695,-43.618309,gorse_broom,2,train,4
65,172.616632,-43.612482,gorse_broom,2,train,300007
66,172.622413,-43.601442,gorse_broom,2,valid,400011
67,172.614601,-43.602607,gorse_broom,2,valid,200010
68,172.622101,-43.602266,gorse_broom,2,train,400010
69,172.623581,-43.608875,gorse_broom,2,train,400008
70,172.607785,-43.620276,gorse_broom,2,train,4
71,172.620509,-43.602161,gorse_broom,2,train,400010
72,172.616695,-43.611334,gorse_broom,2,train,300007
73,172.624025,-43.603917,gorse_broom,2,valid,500010
74,172.623324,-43.607639,gorse_broom,2,train,400008
75,172.614995,-43.623318,gorse_broom,2,train,200003
76,172.625372,-43.611129,gorse_broom,2,valid,500007
77,172.617207,-43.600581,gorse_broom,2,train,300011
78,172.619553,-43.599917,gorse_broom,2,train,300011
79,172.618695,-43.613911,gorse_broom,2,train,300006
80,172.612821,-43.621442,gorse_broom,2,train,200003
81,172.617884,-43.612931,gorse_broom,2,train,300006
82,172.622362,-43.607360,gorse_broom,2,train,400008
83,172.619368,-43.602394,gorse_broom,2,train,300010
84,172.607474,-43.617630,gorse_broom,2,valid,5
85,172.618544,-43.605678,gorse_broom,2,valid,300009
86,172.611387,-43.619724,gorse_broom,2,train,100004
87,172.615965,-43.605925,gorse_broom,2,train,200009
88,172.615975,-43.604512,gorse_broom,2,train,200009
89,172.615121,-43.610728,gorse_broom,2,train,200007
90,172.619370,-43.615768,gorse_broom,2,train,300005
91,172.625450,-43.610735,gorse_broom,2,valid,500007
92,172.605690,-43.618391,gorse_broom,2,train,4
93,172.617768,-43.603973,gorse_broom,2,train,300010
94,172.620325,-43.605216,gorse_broom,2,train,400009
95,172.605274,-43.616809,gorse_broom,2,valid,5
96,172.607535,-43.621768,gorse_broom,2,valid,3
97,172.629431,-43.603979,exotic_pine,3,valid,600010
98,172.611161,-43.607765,exotic_pine,3,train,100008
99,172.620696,-43.623385,exotic_pine,3,train,400002
100,172.637676,-43.605510,exotic_pine,3,valid,800009
101,172.634265,-43.605215,exotic_pine,3,train,700009
102,172.632905,-43.602457,exotic_pine,3,train,700010
103,172.611799,-43.607668,exotic_pine,3,train,100008
104,172.634557,-43.604748,exotic_pine,3,train,700009
105,172.634928,-43.604527,exotic_pine,3,train,700009
106,172.610367,-43.608083,exotic_pine,3,train,100008
107,172.632183,-43.603817,exotic_pine,3,train,700010
108,172.611949,-43.609203,exotic_pine,3,train,100008
109,172.628504,-43.607162,exotic_pine,3,valid,600008
110,172.633577,-43.605184,exotic_pine,3,train,700009
111,172.636263,-43.606595,exotic_pine,3,valid,800009
112,172.608197,-43.609053,exotic_pine,3,valid,8
113,172.636919,-43.606562,exotic_pine,3,valid,800009
114,172.631877,-43.602135,exotic_pine,3,train,700010
115,172.633355,-43.603649,exotic_pine,3,train,700010
116,172.632579,-43.603179,exotic_pine,3,train,700010
117,172.635010,-43.606038,exotic_pine,3,train,700009
118,172.633013,-43.610190,exotic_pine,3,valid,700007
119,172.635042,-43.603375,exotic_pine,3,train,700010
120,172.636888,-43.606327,exotic_pine,3,valid,800009
121,172.631919,-43.603956,exotic_pine,3,train,700010
122,172.632771,-43.604995,exotic_pine,3,train,700009
123,172.610327,-43.608205,exotic_pine,3,train,100008
124,172.622115,-43.599489,exotic_pine,3,valid,400011
125,172.622546,-43.599301,exotic_pine,3,valid,400011
126,172.634104,-43.605238,exotic_pine,3,train,700009
127,172.636356,-43.606839,exotic_pine,3,valid,800009
128,172.634293,-43.604924,exotic_pine,3,train,700009
129,172.632352,-43.602595,exotic_pine,3,train,700010
130,172.612126,-43.608578,exotic_pine,3,train,100008
131,172.633971,-43.604463,exotic_pine,3,train,700010
132,172.613681,-43.609242,exotic_pine,3,train,200008
133,172.635353,-43.604369,exotic_pine,3,train,800010
134,172.633363,-43.605050,exotic_pine,3,train,700009
135,172.637031,-43.606188,exotic_pine,3,valid,800009
136,172.635138,-43.605510,exotic_pine,3,valid,800009
137,172.610962,-43.607810,exotic_pine,3,train,100008
138,172.613453,-43.609512,exotic_pine,3,train,200008
139,172.624701,-43.602492,exotic_pine,3,valid,500010
140,172.635024,-43.604145,exotic_pine,3,train,700010
141,172.612282,-43.608054,exotic_pine,3,train,100008
142,172.608306,-43.611424,exotic_pine,3,train,7
143,172.618553,-43.612576,broadleaf_scrub,4,train,300006
144,172.614689,-43.622903,broadleaf_scrub,4,train,200003
145,172.614994,-43.624477,broadleaf_scrub,4,train,200002
146,172.628457,-43.613014,broadleaf_scrub,4,train,600006
147,172.608362,-43.621039,broadleaf_scrub,4,valid,3
148,172.612172,-43.605272,broadleaf_scrub,4,train,100009
149,172.615000,-43.622628,broadleaf_scrub,4,train,200003
150,172.631710,-43.631483,broadleaf_scrub,4,train,700000
151,172.621002,-43.615475,broadleaf_scrub,4,train,400005
152,172.620409,-43.614951,broadleaf_scrub,4,train,400006
153,172.630977,-43.623283,broadleaf_scrub,4,train,600003
154,172.609435,-43.625176,broadleaf_scrub,4,valid,100002
155,172.613754,-43.607962,broadleaf_scrub,4,train,200008
156,172.612810,-43.624643,broadleaf_scrub,4,train,200002
157,172.607274,-43.622806,broadleaf_scrub,4,valid,3
158,172.608574,-43.621184,broadleaf_scrub,4,valid,3
159,172.608306,-43.620513,broadleaf_scrub,4,train,4
160,172.610483,-43.624005,broadleaf_scrub,4,valid,100002
161,172.610401,-43.620578,broadleaf_scrub,4,train,100004
162,172.611856,-43.604113,broadleaf_scrub,4,valid,100010
163,172.613456,-43.606168,broadleaf_scrub,4,train,200009
164,172.614193,-43.605782,broadleaf_scrub,4,train,200009
165,172.609740,-43.622539,broadleaf_scrub,4,train,100003
166,172.614480,-43.623191,broadleaf_scrub,4,train,200003
167,172.613279,-43.605405,broadleaf_scrub,4,train,200009
168,172.610105,-43.620415,broadleaf_scrub,4,train,100004
169,172.614358,-43.607786,broadleaf_scrub,4,train,200008
170,172.617133,-43.607652,broadleaf_scrub,4,valid,300008
171,172.630069,-43.629936,broadleaf_scrub,4,train,600000
172,172.631128,-43.623369,broadleaf_scrub,4,train,600003
173,172.611311,-43.602953,broadleaf_scrub,4,valid,100010
174,172.615089,-43.603173,broadleaf_scrub,4,valid,200010
175,172.608953,-43.621062,broadleaf_scrub,4,valid,3
176,172.628457,-43.626058,broadleaf_scrub,4,train,600002
177,172.609962,-43.620775,broadleaf_scrub,4,train,100003
178,172.615773,-43.607005,broadleaf_scrub,4,train,200009
179,172.612166,-43.605686,broadleaf_scrub,4,train,100009
180,172.609104,-43.623452,broadleaf_scrub,4,valid,100002
181,172.619470,-43.613306,broadleaf_scrub,4,train,300006
182,172.613116,-43.624758,broadleaf_scrub,4,train,200002
183,172.620764,-43.614473,broadleaf_scrub,4,train,400006
184,172.626964,-43.611270,broadleaf_scrub,4,valid,500007
185,172.626040,-43.620556,broadleaf_scrub,4,train,500004
186,172.608620,-43.621325,broadleaf_scrub,4,valid,3
187,172.630251,-43.623232,broadleaf_scrub,4,train,600003
188,172.605589,-43.622897,broadleaf_scrub,4,valid,3
189,172.614168,-43.608708,broadleaf_scrub,4,train,200008
190,172.619648,-43.612971,broadleaf_scrub,4,train,300006
191,172.608681,-43.623019,broadleaf_scrub,4,valid,3
192,172.613793,-43.623778,broadleaf_scrub,4,train,200002
193,172.610549,-43.609334,cleared_pine,5,train,100008
194,172.607778,-43.606201,cleared_pine,5,train,9
195,172.611124,-43.612917,cleared_pine,5,valid,100006
196,172.611777,-43.608020,cleared_pine,5,train,100008
197,172.610395,-43.609642,cleared_pine,5,train,100008
198,172.611204,-43.609203,cleared_pine,5,train,100008
199,172.631916,-43.606762,cleared_pine,5,train,700009
200,172.632618,-43.609089,cleared_pine,5,train,700008
201,172.616543,-43.613316,cleared_pine,5,train,300006
202,172.615340,-43.616906,cleared_pine,5,train,200005
203,172.607544,-43.604472,cleared_pine,5,train,9
204,172.610032,-43.609255,cleared_pine,5,train,100008
205,172.607994,-43.609419,cleared_pine,5,valid,8
206,172.629101,-43.606995,cleared_pine,5,train,600009
207,172.624982,-43.602993,cleared_pine,5,valid,500010
208,172.611542,-43.609596,cleared_pine,5,train,100008
209,172.625753,-43.605395,cleared_pine,5,valid,500009
210,172.623308,-43.601125,cleared_pine,5,valid,400011
211,172.607112,-43.605484,cleared_pine,5,train,9
212,172.632197,-43.609448,cleared_pine,5,train,700008
213,172.606992,-43.603840,cleared_pine,5,train,10
214,172.608590,-43.607851,cleared_pine,5,valid,8
215,172.617361,-43.616767,cleared_pine,5,train,300005
216,172.621198,-43.599876,cleared_pine,5,valid,400011
217,172.632347,-43.608746,cleared_pine,5,train,700008
218,172.616556,-43.614662,cleared_pine,5,train,300006
219,172.610939,-43.608358,cleared_pine,5,train,100008
220,172.610713,-43.609770,cleared_pine,5,train,100008
221,172.627991,-43.606627,cleared_pine,5,train,600009
222,172.615020,-43.615574,cleared_pine,5,train,200005
223,172.611153,-43.611777,cleared_pine,5,train,100007
224,172.631938,-43.608308,cleared_pine,5,train,700008
225,172.623488,-43.600670,cleared_pine,5,valid,400011
226,172.617679,-43.616876,cleared_pine,5,train,300005
227,172.626995,-43.608856,cleared_pine,5,train,500008
228,172.610447,-43.609396,cleared_pine,5,train,100008
229,172.611192,-43.613266,cleared_pine,5,valid,100006
230,172.609753,-43.610574,cleared_pine,5,train,100007
231,172.630032,-43.609676,cleared_pine,5,valid,600008
232,172.627512,-43.609179,cleared_pine,5,train,500008
233,172.627273,-43.603470,cleared_pine,5,valid,500010
234,172.627495,-43.608871,cleared_pine,5,train,500008
235,172.627417,-43.603271,cleared_pine,5,valid,500010
236,172.625862,-43.605828,cleared_pine,5,valid,500009
237,172.612516,-43.614575,cleared_pine,5,valid,100006
238,172.606819,-43.606326,cleared_pine,5,train,9
239,172.627924,-43.608740,cleared_pine,5,valid,600008
240,172.614702,-43.615413,cleared_pine,5,train,200005
241,172.629320,-43.605900,cleared_pine,5,train,600009
242,172.632876,-43.608004,cleared_pine,5,train,700008
